latitude,longitude,population
41.354881,-71.80387,21327
41.50155,-71.58465,4341
41.70375,-71.51857,29581
41.444078,-71.69556,538
42.001731,-71.50722,43224
41.988166,-71.55188,10332
41.51495,-71.68484,1818
41.8208,-71.41306,9655
41.859199,-71.43142,29483
41.7883,-71.40431,25272
41.83635,-71.39427,30469
41.79855,-71.42449,27579
41.839296,-71.43802,38129
41.8191,-71.44775,41239
41.776867,-71.43672,20881
41.853699,-71.47354,14151
41.8124,-71.36834,22555
41.7695,-71.35564,17980
41.84325,-71.35391,8121
41.894499,-71.51646,13390
41.825132,-71.49468,28248
41.7715,-71.46485,37672
41.76435,-71.50972,10596
42.854886,-71.6082,10776
43.000345,-71.35141,4682
42.742587,-71.66605,4181
43.048372,-71.3078,3911
42.967823,-71.23453,3792
43.141746,-71.2488,3678
42.886486,-71.30019,34137
43.045076,-71.07095,5476
42.976901,-71.81007,1811
42.986119,-71.12524,3523
43.037495,-71.57023,14953
42.935709,-71.86645,1194
42.747024,-71.77591,3343
42.739909,-71.58044,7015
42.759821,-71.42079,22928
42.85059,-71.45379,7360
42.880481,-71.38205,23120
42.858053,-71.51216,25149
42.831686,-71.66743,13634
42.899434,-71.68057,2197
42.748888,-71.46492,29388
42.724822,-71.49238,26388
42.770738,-71.51047,16175
42.774171,-71.47306,14654
42.978267,-71.69414,4060
42.753726,-71.86706,4299
42.734182,-71.32359,10914
43.031491,-71.19598,9674
42.792456,-71.21316,28112
42.902259,-71.78452,1143
42.81949,-71.85063,866
42.830184,-71.78177,4262
42.805194,-71.29878,10709
42.989984,-71.46376,2793
42.990684,-71.4868,30268
42.967684,-71.44828,36875
43.006033,-71.44716,32197
43.058785,-71.44412,11721
42.972584,-71.41349,9101
42.942551,-71.51993,18274
43.951304,-71.50336,258
43.444702,-71.78401,2099
43.705061,-71.62778,2805
43.338347,-71.29305,1088
43.459555,-71.47352,7135
43.256053,-71.95405,1815
43.615799,-71.75006,4971
43.887682,-71.65161,3885
43.346137,-71.54434,1977
43.354005,-71.22819,3294
43.721094,-71.49652,457
43.802936,-71.45126,1037
43.204192,-71.70711,5399
43.506405,-71.87281,1268
43.423484,-71.93648,263
43.228594,-71.3611,6228
43.444456,-71.66034,8479
43.42975,-71.37517,1476
43.568328,-71.96422,1035
43.713794,-71.80642,828
43.173469,-71.81722,4438
43.521669,-71.73815,992
43.119417,-71.92108,6783
43.557153,-71.43842,23578
44.051981,-71.6606,1273
43.644559,-71.50488,6532
43.712184,-71.39299,4413
43.32582,-72.02654,1784
43.60768,-71.64372,1098
43.418863,-72.00004,4369
43.880005,-71.39475,170
43.356838,-71.9255,474
43.216633,-71.2079,3724
44.0285,-71.68701,895
43.30368,-71.3215,3948
43.753837,-71.64503,9058
43.806365,-71.87952,2105
43.388571,-71.74199,1022
43.523175,-71.5876,2606
43.317257,-71.92709,230
43.152469,-71.43654,11769
43.446729,-71.5785,8025
43.283838,-71.82537,3011
43.938224,-71.88853,874
43.173046,-72.09755,847
43.080986,-71.72329,7808
43.874357,-71.91765,706
43.501755,-72.01296,357
43.430018,-71.90457,947
43.115874,-71.11081,3554
43.179984,-71.1392,63
43.213705,-71.53774,31701
43.283796,-71.63832,14239
43.144614,-71.53576,7138
43.31773,-71.4534,4464
42.946418,-72.28616,24745
43.060424,-71.95068,2668
42.791069,-72.4352,287
43.005429,-71.91635,1396
42.871815,-72.47163,604
42.899874,-72.06334,1175
43.009728,-72.19383,556
42.870578,-72.29978,5797
42.754744,-72.14838,2033
43.055293,-72.26149,726
42.975105,-71.98913,1743
42.941175,-72.06043,567
42.797633,-72.49518,4082
42.827096,-72.03418,5476
42.932177,-72.16219,2882
43.125523,-72.21382,727
43.025227,-72.14365,411
42.884919,-71.95133,6820
42.749835,-72.01034,5451
42.913966,-72.41522,1729
43.078658,-72.0959,782
42.822155,-72.17618,2087
42.899338,-72.51629,1209
42.971069,-72.42512,1747
42.775629,-72.33893,4912
44.313606,-71.79751,5845
44.463337,-71.19092,10601
44.28177,-71.69225,2178
44.893888,-71.44766,3840
44.789296,-71.15394,382
44.200124,-71.69959,1215
44.386557,-71.16273,3278
44.610605,-71.48147,2778
44.376866,-71.46436,954
44.483756,-71.54999,3584
44.225864,-71.87371,2997
44.608332,-71.24335,1664
44.719769,-71.59395,1227
45.085547,-71.30724,1168
44.271516,-71.51746,647
44.378771,-71.62248,2988
43.242719,-72.30269,398
43.142384,-72.32575,2125
43.249468,-72.39026,5342
43.231807,-72.17556,877
43.195329,-72.26894,268
43.075411,-72.41902,2978
43.142254,-72.4483,806
43.659172,-72.01333,3188
43.374562,-72.34152,13831
43.476337,-72.33337,1635
43.614847,-72.12058,5873
43.701003,-72.20056,792
43.437503,-72.07185,391
43.304058,-72.13525,750
43.516383,-72.12954,1994
43.719756,-72.2507,10062
44.037125,-72.05658,344
43.642945,-72.24403,8423
43.823864,-72.13297,1928
43.525462,-72.28072,294
44.281722,-72.02789,755
43.358339,-72.18321,7679
44.08541,-71.9943,1314
43.908925,-72.07831,825
43.976427,-72.04409,699
44.029684,-71.98612,511
43.53357,-72.30353,1959
43.381133,-72.09028,2724
43.649781,-72.30594,3793
44.133215,-71.96306,3455
43.070188,-70.77684,21563
43.478364,-71.22377,3623
43.478917,-71.28776,492
42.836245,-71.16246,6178
44.081906,-71.29729,848
44.041089,-71.0627,2738
43.767878,-71.12926,3588
43.256254,-71.10317,537
43.685171,-71.28404,1566
43.878112,-71.22069,598
43.966958,-71.15892,3168
42.927682,-71.12034,3912
43.190984,-70.88787,28526
43.128085,-70.96035,16809
43.208136,-71.04356,7055
42.890357,-71.12296,2065
42.91574,-70.98459,2634
43.640621,-70.98935,1206
43.907045,-71.04716,333
42.973783,-70.97665,19129
43.395688,-71.06217,4996
43.814201,-71.0803,1303
43.435913,-71.32971,934
44.116958,-71.20354,917
43.267581,-70.98552,3444
43.038279,-70.84714,3205
42.880837,-71.18252,6280
42.93569,-70.82514,14809
